time,voltage,current,power
16.481,1.077,5.44,0.0
16.584,1.106,4.536,0.0
16.689,1.104,5.458,0.0
16.793,1.134,4.52,0.0
16.898,1.132,5.5,0.0
17.002,1.133,4.538,0.0
17.107,1.13,5.44,0.0
17.211,1.108,4.528,0.0
17.316,1.105,4.806,0.0
17.42,1.104,5.574,0.0
17.524,1.104,4.572,0.0
17.628,1.116,5.474,0.0
17.732,1.107,4.536,0.0
17.837,1.105,5.446,0.0
17.941,1.134,4.498,0.0
18.046,1.103,5.472,0.0
18.15,1.133,4.51,0.0
18.255,1.127,5.486,0.0
18.359,1.105,5.194,0.0
18.463,1.108,4.44,0.0
18.568,1.105,5.436,0.0
18.671,1.132,4.494,0.0
18.776,1.131,5.492,0.0
18.88,1.107,4.672,0.0
18.985,1.104,5.19,0.0
19.089,1.107,5.086,0.0
19.194,1.079,4.62,0.0
19.298,1.079,5.442,0.0
19.403,1.102,4.516,0.0
19.507,1.079,4.81,0.0
19.61,1.072,5.576,0.0
19.715,1.133,4.564,0.0
19.819,1.129,5.5,0.0
19.924,1.129,4.534,0.0
20.028,1.113,5.446,0.0
20.133,1.133,4.536,0.0
20.237,1.076,5.442,0.0
20.342,1.103,4.536,0.0
20.446,1.073,5.442,0.0
20.55,1.102,5.194,0.0
20.654,1.106,4.458,0.0
20.758,1.129,5.444,0.0
20.863,1.13,4.52,0.0
20.967,1.127,5.49,0.0
21.072,1.132,4.536,0.0
21.176,1.114,5.45,0.0
21.281,1.105,4.592,0.0
21.385,1.1,5.398,0.0
21.489,1.102,5.048,0.0
21.594,1.102,4.598,0.0
21.697,1.102,4.786,0.0
21.802,1.103,5.616,0.0
21.906,1.157,4.568,0.0
22.011,1.153,5.482,0.0
22.115,1.13,4.508,0.0
22.22,1.127,5.498,0.0
22.324,1.099,4.504,0.0
22.428,1.099,5.462,0.0
22.533,1.098,4.552,0.0
22.637,1.099,5.494,0.0
22.741,1.126,5.2,0.0
22.845,1.132,4.446,0.0
22.95,1.111,5.45,0.0
23.054,1.127,4.514,0.0
23.159,1.126,5.5,0.0
23.263,1.085,4.496,0.0
23.367,1.083,5.492,0.0
23.472,1.076,5.138,0.0
23.576,1.101,4.448,0.0
23.681,1.099,5.432,0.0
23.784,1.126,5.196,0.0
23.889,1.128,4.458,0.0
23.993,1.125,5.442,0.0
24.098,1.115,4.498,0.0
24.202,1.125,5.468,0.0
24.306,1.073,4.524,0.0
24.411,1.071,5.484,0.0
24.515,1.071,4.51,0.0
24.62,1.071,5.49,0.0
24.723,1.102,4.518,0.0
24.828,1.095,5.496,0.0
24.932,1.096,5.206,0.0
25.037,1.097,4.416,0.0
25.141,1.109,5.394,0.0
25.245,1.071,5.054,0.0
25.35,1.098,4.498,0.0
25.454,1.072,5.502,0.0
25.559,1.085,4.538,0.0
25.662,1.071,5.464,0.0
25.767,1.126,4.532,0.0
25.871,1.096,5.47,0.0
25.976,1.124,5.224,0.0
26.08,1.126,4.406,0.0
26.184,1.125,5.422,0.0
26.289,1.102,4.496,0.0
26.393,1.096,5.446,0.0
26.498,1.101,4.504,0.0
26.602,1.096,5.47,0.0
26.706,1.126,4.538,0.0
26.81,1.125,5.454,0.0
26.915,1.109,4.5,0.0
27.019,1.121,5.44,0.0
27.123,1.125,4.572,0.0
27.228,1.076,5.484,0.0
27.332,1.097,4.536,0.0
27.437,1.095,5.436,0.0
27.541,1.084,4.506,0.0
27.645,1.068,5.462,0.0
27.749,1.099,4.572,0.0
27.854,1.092,5.462,0.0
27.958,1.124,4.574,0.0
28.062,1.125,4.818,0.0
28.167,1.123,5.566,0.0
28.271,1.099,4.546,0.0
28.376,1.093,5.5,0.0
28.48,1.097,4.506,0.0
28.585,1.093,5.502,0.0
28.688,1.125,4.494,0.0
28.793,1.126,5.476,0.0
28.897,1.097,5.096,0.0
29.001,1.095,4.48,0.0
29.106,1.123,4.75,0.0
29.21,1.09,5.564,0.0
29.315,1.095,4.54,0.0
29.419,1.091,5.498,0.0
29.524,1.095,4.522,0.0
29.627,1.122,5.494,0.0
29.732,1.093,4.53,0.0
29.836,1.093,5.482,0.0
29.94,1.125,4.532,0.0
30.045,1.093,5.482,0.0
30.149,1.124,4.536,0.0
30.254,1.094,5.106,0.0
30.358,1.094,4.708,0.0
30.463,1.119,5.572,0.0
30.567,1.095,4.568,0.0
30.671,1.117,5.49,0.0
30.775,1.124,4.526,0.0
30.879,1.096,5.492,0.0
30.984,1.093,4.532,0.0
31.088,1.09,5.47,0.0
31.193,1.096,4.518,0.0
31.297,1.092,4.796,0.0
31.402,1.077,5.602,0.0
31.506,1.094,4.562,0.0
31.61,1.093,5.498,0.0
31.714,1.092,4.536,0.0
31.819,1.094,5.438,0.0
31.923,1.12,5.04,0.0
32.027,1.097,4.518,0.0
32.132,1.069,5.488,0.0
32.236,1.065,4.534,0.0
32.341,1.065,4.734,0.0
32.445,1.065,5.56,0.0
32.549,1.092,4.572,0.0
32.653,1.093,5.486,0.0
32.758,1.121,4.518,0.0
32.862,1.117,5.484,0.0
32.966,1.121,4.536,0.0
33.071,1.121,5.444,0.0
33.175,1.091,4.522,0.0
33.28,1.075,5.498,0.0
33.384,1.096,4.522,0.0
33.489,1.091,5.488,0.0
33.592,1.118,4.522,0.0
33.697,1.104,5.492,0.0
33.801,1.095,4.504,0.0
33.905,1.117,5.498,0.0
34.01,1.12,4.522,0.0
34.114,1.09,5.47,0.0
34.219,1.094,4.508,0.0
34.323,1.123,5.48,0.0
34.428,1.095,5.188,0.0
34.531,1.119,4.436,0.0
34.636,1.12,5.458,0.0
34.74,1.096,4.988,0.0
34.844,1.094,4.52,0.0
34.949,1.117,5.494,0.0
35.053,1.073,4.53,0.0
35.158,1.092,5.47,0.0
35.262,1.095,4.52,0.0
35.367,1.092,5.494,0.0
35.47,1.121,5.208,0.0
35.575,1.121,4.412,0.0
35.679,1.094,5.408,0.0
35.783,1.09,4.466,0.0
35.888,1.118,5.474,0.0
35.992,1.073,4.504,0.0
36.097,1.09,5.488,0.0
36.201,1.092,5.09,0.0
36.306,1.091,4.488,0.0
36.409,1.121,5.444,0.0
36.514,1.122,5.216,0.0
36.618,1.121,4.408,0.0
36.722,1.117,5.418,0.0
36.827,1.117,4.474,0.0
36.931,1.074,5.45,0.0
37.036,1.089,4.536,0.0
37.14,1.091,5.458,0.0
37.245,1.09,4.532,0.0
37.348,1.1,5.476,0.0
37.453,1.101,4.512,0.0
37.557,1.09,5.486,0.0
37.661,1.09,4.532,0.0
37.766,1.117,5.482,0.0
37.87,1.064,4.52,0.0
37.975,1.089,5.5,0.0
38.079,1.089,4.502,0.0
38.184,1.088,5.48,0.0
38.287,1.12,4.524,0.0
38.392,1.118,5.492,0.0
38.496,1.122,4.504,0.0
38.6,1.12,4.832,0.0
38.705,1.118,4.984,0.0
38.809,1.086,5.574,0.0
38.914,1.091,4.572,0.0
39.018,1.088,5.482,0.0
39.123,1.089,4.52,0.0
39.226,1.118,5.504,0.0
39.331,1.119,4.516,0.0
39.435,1.09,5.498,0.0
39.539,1.098,4.532,0.0
39.644,1.115,4.796,0.0
39.748,1.071,5.612,0.0
39.853,1.088,4.632,0.0
39.957,1.088,5.018,0.0
40.062,1.088,5.454,0.0
40.165,1.12,4.52,0.0
40.27,1.116,5.502,0.0
40.374,1.09,4.526,0.0
40.478,1.118,5.498,0.0
40.583,1.101,4.506,0.0
40.687,1.088,4.79,0.0
40.792,1.088,5.602,0.0
40.896,1.09,4.574,0.0
41.001,1.09,5.496,0.0
41.104,1.114,4.712,0.0
41.209,1.116,4.712,0.0
41.313,1.115,5.536,0.0
41.417,1.119,4.52,0.0
41.522,1.116,5.486,0.0
41.626,1.089,4.532,0.0
41.731,1.088,4.79,0.0
41.835,1.088,5.618,0.0
41.94,1.072,4.558,0.0
42.043,1.063,5.488,0.0
42.148,1.089,4.522,0.0
42.252,1.088,5.478,0.0
42.356,1.118,4.74,0.0
42.461,1.115,4.618,0.0
42.565,1.113,5.54,0.0
42.67,1.09,4.518,0.0
42.774,1.089,4.794,0.0
42.879,1.085,5.582,0.0
42.983,1.089,4.592,0.0
43.087,1.114,5.532,0.0
43.191,1.117,4.562,0.0
43.295,1.088,5.5,0.0
43.4,1.098,4.502,0.0
43.504,1.118,5.482,0.0
43.609,1.086,5.194,0.0
43.713,1.089,4.446,0.0
43.818,1.087,4.74,0.0
43.922,1.087,5.57,0.0
44.026,1.113,4.564,0.0
44.13,1.114,5.494,0.0
44.235,1.117,4.52,0.0
44.339,1.099,5.464,0.0
44.443,1.114,4.558,0.0
44.548,1.087,5.462,0.0
44.652,1.075,4.612,0.0
44.757,1.074,4.916,0.0
44.861,1.06,4.774,0.0
44.965,1.061,5.6,0.0
45.069,1.088,4.614,0.0
45.174,1.087,5.484,0.0
45.278,1.088,4.536,0.0
45.382,1.088,5.458,0.0
45.487,1.114,4.536,0.0
45.591,1.087,5.45,0.0
45.696,1.088,4.506,0.0
45.8,1.063,5.498,0.0
45.904,1.089,4.512,0.0
46.008,1.086,5.5,0.0
46.113,1.088,4.508,0.0
46.217,1.088,5.498,0.0
46.321,1.101,4.536,0.0
46.426,1.058,5.444,0.0
46.53,1.063,4.514,0.0
46.635,1.071,5.486,0.0
46.739,1.059,4.532,0.0
46.843,1.057,5.498,0.0
46.947,1.117,4.52,0.0
47.052,1.142,5.492,0.0
47.156,1.118,4.534,0.0
47.26,1.115,5.432,0.0
47.365,1.113,4.53,0.0
47.469,1.084,5.494,0.0
47.574,1.088,4.53,0.0
47.678,1.086,5.502,0.0
47.783,1.087,4.506,0.0
47.886,1.096,5.502,0.0
47.991,1.114,4.522,0.0
48.095,1.087,5.49,0.0
48.199,1.115,4.518,0.0
48.304,1.095,5.476,0.0
48.408,1.088,4.536,0.0
48.513,1.084,5.462,0.0
48.617,1.087,4.518,0.0
48.722,1.086,5.5,0.0
48.825,1.099,4.536,0.0
48.93,1.1,5.438,0.0
49.034,1.115,4.5,0.0
49.138,1.112,5.462,0.0
49.243,1.112,4.57,0.0
49.347,1.088,5.478,0.0
49.452,1.088,4.536,0.0
49.556,1.084,5.438,0.0
49.661,1.09,4.522,0.0
49.764,1.088,5.498,0.0
49.869,1.089,4.52,0.0
49.973,1.084,5.5,0.0
50.077,1.085,4.534,0.0
50.182,1.093,5.466,0.0
50.286,1.068,4.522,0.0
50.391,1.086,5.472,0.0
50.495,1.085,4.536,0.0
50.6,1.083,5.446,0.0
50.703,1.114,4.52,0.0
50.808,1.112,5.48,0.0
50.912,1.113,4.494,0.0
51.016,1.114,5.464,0.0
51.121,1.113,4.562,0.0
51.225,1.068,5.462,0.0
51.33,1.058,4.558,0.0
51.434,1.069,5.476,0.0
51.539,1.069,4.522,0.0
51.642,1.058,5.496,0.0
51.747,1.114,4.522,0.0
51.851,1.086,5.484,0.0
51.955,1.112,4.742,0.0
52.06,1.113,5.328,0.0
52.164,1.114,4.464,0.0
52.269,1.085,5.468,0.0
52.373,1.086,4.532,0.0
52.478,1.087,5.47,0.0
52.582,1.087,4.536,0.0
52.686,1.11,5.428,0.0
52.79,1.117,4.536,0.0
52.894,1.086,5.386,0.0
52.999,1.085,5.266,0.0
53.103,1.088,5.136,0.0
53.208,1.112,4.364,0.0
53.312,1.059,5.414,0.0
53.417,1.084,4.468,0.0
53.521,1.084,5.442,0.0
53.626,1.088,4.52,0.0
53.729,1.114,5.476,0.0
53.833,1.114,4.712,0.0
53.938,1.113,4.672,0.0
54.042,1.094,5.52,0.0
54.147,1.111,5.226,0.0
54.251,1.087,4.44,0.0
54.356,1.082,5.462,0.0
54.46,1.087,4.53,0.0
54.565,1.084,5.502,0.0
54.668,1.111,4.522,0.0
54.772,1.108,5.418,0.0
54.877,1.111,5.262,0.0
54.981,1.098,4.446,0.0
55.086,1.11,4.77,0.0
55.19,1.084,5.546,0.0
55.295,1.087,4.552,0.0
55.399,1.083,5.498,0.0
55.504,1.086,4.522,0.0
55.607,1.111,5.468,0.0
55.711,1.11,5.054,0.0
55.816,1.112,4.522,0.0
55.92,1.11,5.482,0.0
56.025,1.111,4.506,0.0
56.129,1.083,4.794,0.0
56.234,1.058,5.616,0.0
56.338,1.082,4.554,0.0
56.443,1.085,5.476,0.0
56.546,1.113,4.632,0.0
56.651,1.087,4.684,0.0
56.755,1.083,5.578,0.0
56.859,1.085,4.538,0.0
56.964,1.084,5.502,0.0
57.068,1.058,4.526,0.0
57.173,1.087,4.798,0.0
57.277,1.064,5.582,0.0
57.382,1.083,4.6,0.0
57.485,1.111,5.29,0.0
57.59,1.094,5.37,0.0
57.694,1.091,4.476,0.0
57.798,1.096,5.452,0.0
57.903,1.092,4.52,0.0
58.007,1.082,5.502,0.0
58.112,1.086,5.194,0.0
58.216,1.086,4.44,0.0
58.321,1.083,5.37,0.0
58.424,1.094,5.27,0.0
58.529,1.094,4.388,0.0
58.633,1.096,5.436,0.0
58.737,1.093,4.536,0.0
58.842,1.092,5.454,0.0
58.946,1.083,4.504,0.0
59.051,1.085,5.488,0.0
59.155,1.085,5.044,0.0
59.26,1.086,5.212,0.0
59.363,1.094,4.4,0.0
59.468,1.111,5.406,0.0
59.572,1.092,4.492,0.0
59.676,1.108,5.436,0.0
59.781,1.11,4.52,0.0
59.885,1.083,5.498,0.0
59.99,1.086,4.518,0.0
60.094,1.086,5.494,0.0
60.199,1.087,4.534,0.0
60.302,1.113,5.46,0.0
60.407,1.11,4.522,0.0
60.511,1.108,5.492,0.0
60.615,1.113,4.506,0.0
60.72,1.108,5.5,0.0
60.824,1.081,4.536,0.0
60.929,1.085,5.464,0.0
61.033,1.086,4.78,0.0
61.138,1.079,5.33,0.0
61.241,1.108,4.49,0.0
61.346,1.111,5.456,0.0
61.45,1.111,4.53,0.0
61.554,1.106,5.492,0.0
61.659,1.112,4.534,0.0
61.763,1.085,5.448,0.0
61.868,1.083,4.91,0.0
61.972,1.084,4.558,0.0
62.077,1.084,5.492,0.0
62.18,1.11,5.224,0.0
62.285,1.112,4.418,0.0
62.389,1.094,5.42,0.0
62.493,1.112,4.492,0.0
62.598,1.091,5.44,0.0
62.702,1.084,5.112,0.0
62.807,1.066,4.474,0.0
62.911,1.084,5.442,0.0
63.016,1.083,4.518,0.0
63.119,1.055,5.494,0.0
63.224,1.085,5.208,0.0
63.328,1.111,4.418,0.0
63.432,1.111,5.418,0.0
63.537,1.108,5.178,0.0
63.641,1.111,4.406,0.0
63.746,1.084,5.422,0.0
63.85,1.083,4.474,0.0
63.955,1.082,5.442,0.0
64.059,1.085,4.516,0.0
64.163,1.109,5.5,0.0
64.267,1.111,4.782,0.0
64.371,1.095,5.326,0.0
64.476,1.084,4.478,0.0
64.58,1.081,5.452,0.0
64.685,1.086,4.534,0.0
64.789,1.053,5.454,0.0
64.894,1.084,4.532,0.0
64.998,1.058,5.486,0.0
65.102,1.084,4.522,0.0
65.206,1.084,5.47,0.0
65.31,1.108,4.516,0.0
65.415,1.082,5.48,0.0
65.519,1.084,4.516,0.0
65.624,1.052,5.498,0.0
65.728,1.083,4.53,0.0
65.833,1.056,5.502,0.0
65.937,1.081,4.458,0.0
66.041,1.054,5.072,0.0
66.145,1.083,5.504,0.0
66.249,1.109,5.208,0.0
66.354,1.111,4.412,0.0
66.458,1.106,5.408,0.0
66.563,1.111,4.472,0.0
66.667,1.08,5.446,0.0
66.772,1.085,4.95,0.0
66.876,1.084,4.524,0.0
66.981,1.082,5.492,0.0
67.084,1.11,4.522,0.0
67.188,1.107,5.5,0.0
67.293,1.106,5.23,0.0
67.397,1.11,4.41,0.0
67.502,1.109,5.39,0.0
67.606,1.083,5.212,0.0
67.711,1.082,4.404,0.0
67.815,1.08,5.388,0.0
67.92,1.081,4.504,0.0
68.023,1.111,5.498,0.0
68.127,1.11,4.536,0.0
68.232,1.109,4.758,0.0
68.336,1.089,4.862,0.0
68.441,1.091,5.66,0.0
68.545,1.063,4.612,0.0
68.65,1.083,5.476,0.0
68.754,1.084,4.502,0.0
68.859,1.081,5.488,0.0
68.962,1.082,4.514,0.0
69.067,1.081,5.474,0.0
69.171,1.113,4.91,0.0
69.275,1.11,5.228,0.0
69.38,1.108,4.434,0.0
69.484,1.109,5.422,0.0
69.589,1.079,4.52,0.0
69.693,1.108,5.5,0.0
69.798,1.084,4.524,0.0
69.901,1.053,5.406,0.0
70.006,1.135,5.27,0.0
70.11,1.111,4.406,0.0
70.214,1.108,5.41,0.0
70.319,1.11,5.174,0.0
70.423,1.112,4.406,0.0
70.528,1.081,5.41,0.0
70.632,1.08,4.974,0.0
70.737,1.081,4.464,0.0
70.841,1.083,5.504,0.0
70.945,1.111,4.53,0.0
71.049,1.091,5.506,0.0
71.153,1.109,4.528,0.0
71.258,1.108,4.784,0.0
71.362,1.107,5.404,0.0
71.467,1.08,5.346,0.0
71.571,1.081,4.474,0.0
71.676,1.078,5.454,0.0
71.78,1.08,4.51,0.0
71.884,1.103,5.492,0.0
71.988,1.111,4.502,0.0
72.092,1.107,5.482,0.0
72.197,1.11,4.652,0.0
72.301,1.106,5.416,0.0
72.406,1.082,4.482,0.0
72.51,1.082,5.466,0.0
72.615,1.079,4.504,0.0
72.719,1.078,5.468,0.0
72.823,1.088,4.504,0.0
72.927,1.104,5.5,0.0
73.031,1.111,5.232,0.0
73.136,1.089,4.386,0.0
73.24,1.09,4.754,0.0
73.345,1.078,5.564,0.0
73.449,1.084,4.558,0.0
73.554,1.079,5.462,0.0
73.658,1.081,4.95,0.0
73.762,1.081,4.558,0.0
73.866,1.082,5.504,0.0
73.97,1.084,4.526,0.0
74.075,1.08,5.468,0.0
74.179,1.079,4.526,0.0
74.284,1.052,4.8,0.0
74.388,1.051,5.072,0.0
74.493,1.051,5.526,0.0
74.597,1.082,4.558,0.0
74.701,1.048,5.494,0.0
74.805,1.109,4.532,0.0
74.909,1.077,5.504,0.0
75.014,1.109,4.536,0.0
75.118,1.081,5.466,0.0
75.223,1.08,4.514,0.0
75.327,1.051,5.49,0.0
75.432,1.083,4.52,0.0
75.536,1.051,5.502,0.0
75.64,1.079,4.52,0.0
75.744,1.081,5.482,0.0
75.848,1.109,4.744,0.0
75.953,1.109,4.652,0.0
76.057,1.103,5.532,0.0
76.162,1.106,4.56,0.0
76.266,1.078,4.812,0.0
76.371,1.076,5.572,0.0
76.475,1.08,4.486,0.0
76.58,1.078,4.848,0.0
76.683,1.088,5.596,0.0
76.787,1.082,4.612,0.0
76.892,1.08,5.496,0.0
76.996,1.079,4.524,0.0
77.101,1.079,5.48,0.0
