time,voltage,current,power,pwm,running,stop_reason
0.000,1.422,0.000,0.000,10,1,0
0.106,1.412,0.122,0.172,20,1,0
0.214,1.403,0.236,0.331,30,1,0
0.320,1.399,0.334,0.467,40,1,0
0.427,1.389,0.446,0.620,50,1,0
0.533,1.383,0.652,0.902,60,1,0
0.641,1.381,0.764,1.055,70,1,0
0.747,1.385,0.678,0.939,80,1,0
0.854,1.371,0.984,1.349,90,1,0
0.960,1.363,0.898,1.224,100,1,0
1.068,1.350,1.002,1.353,110,1,0
1.174,1.355,1.320,1.789,120,1,0
1.281,1.352,1.224,1.655,130,1,0
1.388,1.328,1.430,1.900,140,1,0
1.495,1.332,1.546,2.059,150,1,0
1.601,1.324,1.628,2.156,160,1,0
1.709,1.316,1.758,2.314,170,1,0
1.815,1.307,1.770,2.313,180,1,0
1.922,1.317,2.066,2.721,190,1,0
2.029,1.299,1.982,2.575,200,1,0
2.136,1.291,2.086,2.693,210,1,0
2.242,1.288,2.386,3.074,220,1,0
2.350,1.277,2.294,2.929,230,1,0
2.456,1.273,2.602,3.312,240,1,0
2.563,1.261,2.594,3.272,250,1,0
2.669,1.257,2.698,3.393,255,1,0
2.777,1.258,2.748,3.457,255,1,0
2.883,1.256,2.746,3.449,255,1,0
2.990,1.257,2.746,3.451,255,1,0
3.097,1.254,2.744,3.440,255,1,0
3.204,1.256,2.742,3.443,255,1,0
3.310,1.251,2.740,3.429,255,1,0
3.418,1.251,2.740,3.428,255,1,0
3.524,1.251,2.740,3.429,255,1,0
3.631,1.253,2.738,3.429,255,1,0
3.738,1.253,2.738,3.431,255,1,0
3.845,1.252,2.738,3.427,255,1,0
3.951,1.251,2.738,3.425,255,1,0
4.059,1.249,2.736,3.417,255,1,0
4.165,1.251,2.736,3.423,255,1,0
4.272,1.247,2.734,3.410,255,1,0
4.379,1.246,2.734,3.407,255,1,0
4.486,1.246,2.734,3.407,255,1,0
4.592,1.248,2.732,3.409,255,1,0
4.700,1.247,2.732,3.406,255,1,0
4.806,1.246,2.730,3.402,255,1,0
4.913,1.246,2.730,3.403,255,1,0
5.020,1.246,2.726,3.397,255,1,0
5.127,1.246,2.726,3.397,255,1,0
5.233,1.246,2.726,3.397,255,1,0
5.341,1.246,2.726,3.398,255,1,0
5.447,1.246,2.726,3.397,255,1,0
5.554,1.246,2.726,3.397,255,1,0
5.661,1.246,2.724,3.395,255,1,0
5.768,1.246,2.724,3.394,255,1,0
5.874,1.246,2.722,3.392,255,1,0
5.982,1.245,2.722,3.388,255,1,0
6.088,1.244,2.720,3.383,255,1,0
6.195,1.244,2.720,3.382,255,1,0
6.302,1.241,2.720,3.376,255,1,0
6.409,1.241,2.718,3.374,255,1,0
6.515,1.242,2.718,3.375,255,1,0
6.623,1.240,2.718,3.371,255,1,0
6.729,1.244,2.716,3.377,255,1,0
6.836,1.240,2.716,3.368,255,1,0
6.943,1.237,2.714,3.356,255,1,0
7.050,1.236,2.714,3.356,255,1,0
7.156,1.236,2.714,3.356,255,1,0
7.264,1.236,2.712,3.353,255,1,0
7.370,1.236,2.712,3.353,255,1,0
7.477,1.236,2.712,3.353,255,1,0
7.584,1.236,2.712,3.353,255,1,0
7.691,1.236,2.712,3.353,255,1,0
7.797,1.237,2.710,3.352,255,1,0
7.905,1.236,2.710,3.351,255,1,0
8.011,1.236,2.710,3.351,255,1,0
