Time,Voltage,Current,Power,PWM,InternalR,State
0,0.787,0.0,0.0,0,0,IDLE
0,0.781,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.797,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.785,0.0,0.0,0,0,IDLE
0,0.788,0.0,0.0,0,0,IDLE
0,0.795,0.0,0.0,0,0,IDLE
0,0.792,0.0,0.0,0,0,IDLE
0,0.787,0.0,0.0,0,0,IDLE
0,0.785,0.0,0.0,0,0,IDLE
0,0.794,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.789,0.0,0.0,0,0,IDLE
0,0.783,0.0,0.0,0,0,IDLE
0,0.788,0.0,0.0,0,0,IDLE
0,0.797,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.786,0.0,0.0,0,0,IDLE
0,0.787,0.0,0.0,0,0,IDLE
0,0.795,0.0,0.0,0,0,IDLE
0,0.794,0.0,0.0,0,0,IDLE
0,0.788,0.0,0.0,0,0,IDLE
0,0.785,0.0,0.0,0,0,IDLE
0,0.79,0.0,0.0,0,0,IDLE
0,0.796,0.0,0.0,0,0,IDLE
0,0.791,0.0,0.0,0,0,IDLE
0,0.786,0.0,0.0,0,0,IDLE
0,0.786,0.0,0.0,0,0,IDLE
0,0.799,0.0,0.0,0,0,IDLE
0,0.797,0.0,0.0,0,0,IDLE
0,0.785,0.0,0.0,0,0,IDLE
0,0.787,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.797,0.0,0.0,0,0,IDLE
0,0.788,0.0,0.0,0,0,IDLE
0,0.784,0.0,0.0,0,0,IDLE
0,0.789,0.0,0.0,0,0,IDLE
0,0.797,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.779,0.0,0.0,0,0,IDLE
0,0.784,0.0,0.0,0,0,IDLE
0,0.796,0.0,0.0,0,0,IDLE
0,0.801,0.0,0.0,0,0,IDLE
0,0.784,0.0,0.0,0,0,IDLE
0,0.777,0.0,0.0,0,0,IDLE
0,0.791,0.0,0.0,0,0,IDLE
0,0.802,0.0,0.0,0,0,IDLE
0,0.793,0.0,0.0,0,0,IDLE
0,0.778,0.0,0.0,0,0,IDLE
0,0.782,0.0,0.0,0,0,IDLE
0,0.799,0.0,0.0,0,0,IDLE
0,0.798,0.0,0.0,0,0,IDLE
0,0.781,0.0,0.0,0,0,IDLE
0,0.779,0.0,0.0,0,0,IDLE
0,0.796,0.0,0.0,0,0,IDLE
0,0.803,0.0,0.0,0,0,IDLE
0,0.789,0.0,0.0,0,0,IDLE
0,0.777,0.0,0.0,0,0,IDLE
0,0.785,0.0,0.0,0,0,IDLE
0,0.799,0.0,0.0,0,0,IDLE
0,0.798,0.0,0.0,0,0,IDLE
0,0.782,0.0,0.0,0,0,IDLE
0,0.782,0.0,0.0,0,0,IDLE
0,0.796,0.0,0.0,0,0,IDLE
0,0.799,0.0,0.0,0,0,IDLE
0,0.787,0.0,0.0,0,0,IDLE
0,0.782,0.0,0.0,0,0,IDLE
0,0.792,0.0,0.0,0,0,IDLE
0,0.804,0.0,0.0,0,0,IDLE
0,0.796,0.0,0.0,0,0,IDLE
0,0.781,0.0,0.0,0,0,IDLE
0,0.785,0.0,0.0,0,0,IDLE
0,0.798,0.0,0.0,0,0,IDLE
0,0.797,0.0,0.0,0,0,IDLE
0,0.783,0.0,0.0,0,0,IDLE
