time,voltage,current,power,pwm,running,stop_reason
0.000,1.378,0.000,0.000,10,1,0
0.106,1.366,0.000,0.000,20,1,0
0.213,1.362,0.322,0.438,30,1,0
0.319,1.362,0.336,0.458,40,1,0
0.426,1.354,0.444,0.601,50,1,0
0.533,1.346,0.576,0.776,60,1,0
0.640,1.347,0.592,0.798,70,1,0
0.746,1.340,0.768,1.029,80,1,0
0.853,1.331,0.878,1.169,90,1,0
0.960,1.310,0.982,1.286,100,1,0
1.067,1.329,1.096,1.457,110,1,0
1.173,1.314,1.096,1.441,120,1,0
1.281,1.304,1.390,1.812,130,1,0
1.387,1.290,1.310,1.690,140,1,0
1.494,1.291,1.416,1.828,150,1,0
1.600,1.282,1.710,2.192,160,1,0
1.708,1.283,1.628,2.089,170,1,0
1.814,1.276,1.920,2.450,180,1,0
1.921,1.270,2.028,2.576,190,1,0
2.028,1.256,1.938,2.435,200,1,0
2.135,1.254,2.240,2.810,210,1,0
2.241,1.264,2.234,2.824,220,1,0
2.349,1.247,2.336,2.913,230,1,0
2.455,1.239,2.440,3.024,240,1,0
2.562,1.232,2.542,3.131,250,1,0
2.669,1.222,2.644,3.232,255,1,0
2.776,1.222,2.694,3.292,255,1,0
2.882,1.223,2.692,3.292,255,1,0
2.990,1.222,2.692,3.289,255,1,0
3.096,1.223,2.690,3.289,255,1,0
3.203,1.222,2.690,3.288,255,1,0
3.310,1.221,2.688,3.282,255,1,0
3.417,1.221,2.688,3.282,255,1,0
3.523,1.220,2.686,3.277,255,1,0
3.631,1.218,2.686,3.271,255,1,0
3.737,1.217,2.686,3.269,255,1,0
3.844,1.217,2.684,3.266,255,1,0
3.951,1.217,2.684,3.266,255,1,0
4.058,1.217,2.684,3.267,255,1,0
4.164,1.217,2.684,3.266,255,1,0
4.272,1.217,2.682,3.264,255,1,0
4.378,1.217,2.682,3.265,255,1,0
4.485,1.219,2.680,3.267,255,1,0
4.592,1.217,2.680,3.260,255,1,0
4.699,1.217,2.680,3.261,255,1,0
4.805,1.217,2.678,3.259,255,1,0
4.913,1.214,2.678,3.251,255,1,0
5.019,1.217,2.678,3.258,255,1,0
5.126,1.212,2.678,3.246,255,1,0
5.233,1.212,2.678,3.247,255,1,0
5.340,1.214,2.676,3.250,255,1,0
5.446,1.212,2.676,3.244,255,1,0
5.554,1.215,2.676,3.250,255,1,0
5.660,1.212,2.676,3.244,255,1,0
5.767,1.212,2.674,3.241,255,1,0
5.874,1.213,2.674,3.245,255,1,0
5.981,1.212,2.674,3.241,255,1,0
6.087,1.214,2.674,3.245,255,1,0
6.195,1.212,2.672,3.239,255,1,0
6.301,1.212,2.672,3.238,255,1,0
6.408,1.212,2.672,3.238,255,1,0
6.515,1.212,2.672,3.239,255,1,0
6.622,1.212,2.672,3.239,255,1,0
6.728,1.212,2.670,3.235,255,1,0
6.836,1.210,2.670,3.231,255,1,0
6.942,1.208,2.670,3.225,255,1,0
7.049,1.209,2.670,3.227,255,1,0
7.155,1.210,2.670,3.230,255,1,0
7.263,1.209,2.668,3.227,255,1,0
7.369,1.207,2.668,3.221,255,1,0
7.476,1.207,2.668,3.221,255,1,0
7.583,1.207,2.668,3.221,255,1,0
