ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175870.7564278,506,512,15,15,0,99.26042722105079,130500,23.3,556.5904272210507
1782175870.8567529,504,512,13,13,0,99.18350341907228,150576,20.2,623.1235034190722
1782175870.957165,506,512,15,15,0,99.18350341907228,130500,23.3,556.5135034190723
1782175871.0563693,506,512,15,15,0,99.18350341907228,130500,23.3,556.5135034190723
1782175871.201905,515,513,24,24,1,98.2049450642885,81562,37.3,373.80827839762185
1782175871.3008833,443,512,48,48,0,93.86983777629915,40781,74.7,257.2765044429658
1782175871.400286,269,436,222,222,76,62.61151395297091,8817,345.3,126.53151395297091
1782175871.500619,414,509,77,77,3,61.43604158169329,25422,119.8,177.36656789748275
1782175871.6009486,448,513,43,43,1,61.361087546935856,45523,66.9,239.53126298553235
1782175871.700341,373,492,118,118,20,58.08627909621958,16588,183.6,146.47645453481607
1782175871.800598,448,512,43,43,0,58.10238670282041,45523,66.9,236.53572003615375
1782175871.900917,470,512,21,21,0,58.16353265391544,93214,32.7,392.1468659872487
1782175872.0004673,413,507,78,78,5,57.42576418119104,25096,121.3,171.89330804084017
1782175872.100656,455,512,36,36,0,57.54022818923514,54375,56.0,264.39022818923513
1782175872.2011766,488,513,3,3,1,57.310670081519326,652500,4.7,2252.5175121867824
1782175872.3004513,442,510,49,49,2,57.34375127187629,39948,76.2,217.5974354824026
1782175872.4007752,486,512,5,5,0,57.155319272205254,391500,7.8,1382.9353192722053
1782175872.5011714,481,513,10,10,1,57.05786839633288,195750,15.6,730.854710501596
1782175872.600458,456,513,35,35,1,57.19989615796605,55928,54.4,268.8034049298959
1782175872.7005854,492,512,1,1,0,56.91481306372997,1957500,1.6,6602.074813063729
1782175872.801089,497,512,6,6,0,56.752533792910675,326250,9.3,1165.1825337929108
1782175872.9003105,470,513,21,21,1,56.85645406835971,93214,32.7,390.5766295069562
1782175873.000847,498,513,7,7,1,56.71555321673461,279642,10.9,1009.6823953219978
1782175873.0999339,446,512,45,45,0,56.82830145158109,43500,70.0,228.8283014515811
1782175873.2002616,476,512,15,15,0,56.81346660512485,130500,23.3,514.1434666051248
1782175873.4000022,472,512,19,19,0,56.85342810063971,103026,29.6,423.2334281006397
1782175873.500395,497,513,6,6,1,56.68583757399127,326250,9.3,1164.8526796792544
1782175873.6006227,493,513,2,2,1,56.41446468277705,978750,3.1,3338.9613067880405
1782175873.6999557,476,513,15,15,1,56.429418691558,130500,23.3,513.4962607968212
1782175873.8003,500,51,9,9,461,56.32870253562161,217500,14.0,782.7287025356216
1782175873.9008522,497,326,6,6,186,56.16950579536865,326250,9.3,1156.5300914786658
1782175873.999949,493,512,2,2,0,55.95350940956438,978750,3.1,3338.7635094095644
1782175874.100526,499,512,8,8,0,55.83932116061217,244687,12.4,892.7026544939455
1782175874.2007651,274,93,217,217,419,45.018093885351696,9020,337.6,110.66688636546738
1782175874.3000064,491,512,0,0,0,44.622296905704005,19575000,0.2,65314.6422969057
1782175874.500915,175,334,316,316,178,25.544606941098237,6194,491.6,107.62893087457618
1782175874.600214,497,512,6,6,0,32.62815457807649,326250,9.3,1141.0581545780765
1782175874.7005193,329,157,162,162,355,29.44612775411339,12083,252.0,99.52149290234188
1782175874.8007286,352,467,139,139,45,27.392684788499295,14082,216.2,114.00040713123249
1782175874.9000783,497,512,6,6,0,28.282529634993708,326250,9.3,1136.7125296349939
1782175875.0004041,146,103,345,345,409,10.091528022475359,5673,536.7,84.92749331531701
1782175875.2000625,502,340,11,11,172,9.955072941953645,177954,17.1,617.3830338964004
1782175875.3004427,199,395,292,292,117,0.27457696254180064,6703,454.2,82.96198838698143
1782175875.400719,459,507,32,32,5,0.24017731460114078,61171,49.8,228.90659090823814
1782175875.4999146,298,97,193,193,415,0,10142,300.2,65.82232827187275
1782175875.600429,378,477,113,113,35,0,17323,175.8,93.80489515545915
1782175875.700861,460,511,31,31,1,0,63145,48.2,235.25994938539407
1782175875.8001745,184,293,307,307,219,0,6376,477.6,79.51224873463485
1782175875.9005368,387,509,104,104,3,0,18822,161.8,98.78984815618222
1782175876.0007503,473,514,18,18,2,0,108750,28.0,385.21323210412146
1782175876.1001997,366,457,125,125,55,0,15660,194.4,89.25388286334056
1782175876.2005908,434,509,57,57,3,0,34342,88.7,143.21318148951553
1782175876.299698,166,54,325,325,458,0,6023,505.6,70.76681851048446
1782175876.400241,403,500,88,88,12,0,22244,136.9,107.3160592913955
1782175876.5004945,451,504,40,40,8,0,48937,62.2,188.99626174981924
1782175876.599791,175,367,316,316,145,0,6194,491.6,83.51599421547361
1782175876.7001116,430,508,61,61,4,0,32090,94.9,136.2831308749096
1782175876.8004954,462,514,29,29,2,0,67500,45.1,249.42323210412147
1782175876.899792,344,479,147,147,33,0,13316,228.7,85.824996384671
1782175877.0000992,446,511,45,45,1,0,43500,70.0,171.95661605206072
1782175877.1004868,485,514,6,6,2,0,326250,9.3,1108.3432321041216
1782175877.1997693,449,506,42,42,6,0,46607,65.3,181.6263629790311
1782175877.3001513,467,510,24,24,2,0,81562,37.3,295.5165654374548
1782175877.4004934,485,514,6,6,2,0,326250,9.3,1108.3432321041216
1782175877.500074,436,507,55,55,5,0,35590,85.6,146.97641359363703
1782175877.600367,472,505,19,19,7,0,103026,29.6,366.0763123644252
1782175877.700535,487,513,4,4,1,0,489375,6.2,1651.8266160520607
1782175877.7998593,458,510,33,33,2,0,59318,51.3,222.76989877078813
1782175877.9001803,484,514,7,7,2,0,279642,10.9,953.1432321041215
1782175878.000532,496,513,5,5,1,0,391500,7.8,1325.7366160520608
1782175878.099927,472,508,19,19,4,0.9075403698366387,103026,29.6,367.1140045780796
1782175878.200149,491,515,0,0,3,0.6139904770853093,19575000,0.2,65270.50383863326
1782175878.3006272,501,513,10,10,1,7.566065634842616,195750,15.6,681.5826816869034
1782175878.39992,491,516,0,0,4,6.889617478321284,19575000,0.2,65276.73608168656
1782175878.500203,491,514,0,0,2,8.662627826526801,19575000,0.2,65278.59585993064
1782175878.6998398,476,512,15,15,0,8.582787908038526,130500,23.3,465.9127879080385
1782175878.8002806,502,512,11,11,0,8.267805239623982,177954,17.1,623.1578052396239
1782175878.9005568,205,64,286,286,448,10.062731739160427,6844,444.9,77.93005639570417
1782175878.9999394,498,513,7,7,1,9.843099727937258,279642,10.9,963.029715779998
1782175879.1002176,500,390,9,9,122,9.689000300812381,217500,14.0,750.7961586522223
1782175879.2005043,90,314,401,401,198,0,4881,623.8,90.05997830802602
