ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180053.081894,506,512,6,6,0,98.95172098709891,29375,100.0,60.0,4,100.0
1782180053.1822417,505,513,7,7,1,98.95172098709891,29375,100.0,60.0,4,75.0
1782180053.2825823,505,513,7,7,1,98.9565016105001,29375,100.0,60.0,4,75.0
1782180053.382005,506,513,6,6,1,98.95172098709891,29375,100.0,60.0,4,75.0
1782180053.4822521,506,514,6,6,2,98.94801774412937,29375,100.0,60.0,4,50.0
1782180053.5822287,175,64,337,337,448,40.673961122548484,11505,260.0,156.0,448,0.0
1782180053.6818087,465,513,47,47,1,40.48421311207514,29375,100.0,60.0,448,99.77678571428571
1782180053.782096,483,434,29,29,78,40.5076195354957,29375,100.0,60.0,448,82.58928571428571
1782180053.882449,110,360,402,402,152,9.277217120872379,9645,260.0,156.0,448,66.07142857142857
1782180053.9817288,490,514,22,22,2,9.389962537868414,29375,100.0,60.0,448,99.55357142857143
1782180054.0820878,405,200,107,107,312,8.566909709886758,29375,129.7,77.8,448,30.357142857142854
