ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782217527.7271054,516,496,31,31,15,100,18125,105.0,63.0,0,0
1782217527.826397,516,496,31,31,15,100,18125,105.0,63.0,0,0
1782217527.9267693,516,496,31,31,15,100,18125,105.0,63.0,0,0
1782217528.02712,517,497,32,32,16,100,18125,105.0,63.0,0,0
1782217528.126472,516,495,31,31,14,100,18125,105.0,63.0,0,0
1782217528.226922,516,495,31,31,14,99.62732200375004,18125,105.0,63.0,0,0
1782217528.3272305,516,496,31,31,15,99.65007289388812,18125,105.0,63.0,0,0
1782217528.4265494,516,496,31,31,15,99.66928108611692,18125,105.0,63.0,0,0
1782217528.526911,516,497,31,31,16,99.68573031947264,18125,105.0,63.0,0,0
1782217528.6272502,516,496,31,31,15,99.7,18125,105.0,63.0,15,0
1782217528.7265973,517,496,32,32,15,99.61430539208007,18125,105.0,63.0,15,0
1782217528.8269064,516,496,31,31,15,99.62732200375004,18125,105.0,63.0,15,0
1782217528.9272392,516,496,31,31,15,99.6391987877059,18125,105.0,63.0,15,0
1782217529.0265675,516,496,31,31,15,99.65007289388812,18125,105.0,63.0,15,0
1782217529.1269112,516,496,31,31,15,99.66006536576049,18125,105.0,63.0,15,0
1782217529.2277405,516,496,31,31,15,99.66928108611692,18125,105.0,63.0,15,0
1782217529.427352,516,496,31,31,15,99.67781026029108,18125,105.0,63.0,15,0
1782217529.527592,516,497,31,31,16,99.68573031947264,18125,105.0,63.0,16,0
1782217529.7269585,55,497,430,430,16,10.928831094489922,4552,273.0,163.8,16,0
1782217529.9271276,515,495,30,30,14,13.050589421204236,18125,105.0,63.0,16,12.5
1782217530.0275102,516,496,31,31,15,15.03923808157299,18125,105.0,63.0,16,6.25
1782217530.327535,517,496,32,32,15,16.907536815806637,18125,105.0,63.0,16,6.25
1782217530.527176,516,496,31,31,15,18.64900199059231,18125,105.0,63.0,16,6.25
1782217530.6275308,516,496,31,31,15,20.285677172236547,18125,105.0,63.0,16,6.25
1782217530.7267294,517,496,32,32,15,21.83559889566095,18125,105.0,63.0,16,6.25
1782217530.8272123,516,496,31,31,15,23.291144444007912,18125,105.0,63.0,16,6.25
1782217530.9276557,516,495,31,31,14,24.66846937587927,18125,105.0,63.0,16,12.5
1782217531.026781,516,496,31,31,15,25.974321884847527,18125,105.0,63.0,16,6.25
1782217531.1272652,517,496,32,32,15,27.221003016649803,18125,105.0,63.0,16,6.25
1782217531.3268473,516,496,31,31,15,28.400799197508107,18125,105.0,63.0,16,6.25
1782217531.527596,516,496,31,31,15,28.400799197508107,18125,105.0,63.0,16,6.25
1782217531.6268153,516,496,31,31,15,28.400799197508107,18125,105.0,63.0,16,6.25
1782217531.727213,516,495,31,31,14,28.400799197508107,18125,105.0,63.0,16,12.5
1782217531.8274565,516,496,31,31,15,28.394786037142055,18125,105.0,63.0,16,6.25
1782217531.9267595,515,496,30,30,15,28.38832342262735,18125,105.0,63.0,16,6.25
1782217532.0271919,516,496,31,31,15,28.38832342262735,18125,105.0,63.0,16,6.25
1782217532.127605,516,496,31,31,15,28.38832342262735,18125,105.0,63.0,16,6.25
1782217532.226877,516,497,31,31,16,28.38832342262735,18125,105.0,63.0,16,0
1782217532.3272107,516,496,31,31,15,28.38832342262735,18125,105.0,63.0,16,6.25
1782217532.4276423,16,496,469,469,15,0,4173,273.0,163.8,16,6.25
1782217532.5270715,516,496,31,31,15,0,18125,105.0,63.0,16,6.25
1782217532.6273928,516,496,31,31,15,0,18125,105.0,63.0,16,6.25
1782217532.7276661,516,496,31,31,15,0,18125,105.0,63.0,16,6.25
1782217532.8269317,517,495,32,32,14,0,18125,105.0,63.0,16,12.5
1782217532.9273362,516,496,31,31,15,0,18125,105.0,63.0,16,6.25
1782217533.2271574,516,496,31,31,15,0,18125,105.0,63.0,16,6.25
1782217533.426947,515,496,30,30,15,0,18125,105.0,63.0,16,6.25
1782217533.5272553,516,496,31,31,15,0,18125,105.0,63.0,16,6.25
