ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782217807.4353137,509,505,1,1,14,100,19375,97.5,58.5,0,0
1782217807.735419,508,506,0,0,15,100,19375,97.5,58.5,0,0
1782217807.9349873,509,505,1,1,14,100,19375,97.5,58.5,0,0
1782217808.0353413,507,506,1,1,15,100,19375,97.5,58.5,0,0
1782217808.134667,508,506,0,0,15,100,19375,97.5,58.5,0,0
1782217808.2351778,509,506,1,1,15,99.52859547920897,19375,97.5,58.5,0,0
1782217808.3354993,508,505,0,0,14,99.50512834069461,19375,97.5,58.5,0,0
1782217808.5351171,508,506,0,0,15,99.5,19375,97.5,58.5,0,0
1782217808.635485,508,506,0,0,15,99.50309600500005,19375,97.5,58.5,0,0
1782217808.7348168,509,506,1,1,15,99.5,19375,97.5,58.5,15,0
1782217809.035364,507,505,1,1,14,99.50207040226803,19375,97.5,58.5,15,6.666666666666667
1782217809.1351998,508,507,0,0,16,99.5,19375,97.5,58.5,15,0
1782217809.235499,510,506,2,2,15,99.37507396887416,19375,97.5,58.5,15,0
1782217809.3348346,508,505,0,0,14,99.37730015092276,19375,97.5,58.5,15,6.666666666666667
1782217809.4352627,507,506,1,1,15,99.38898990733922,19375,97.5,58.5,15,0
1782217809.5344763,509,506,1,1,15,99.40052105958591,19375,97.5,58.5,15,0
1782217809.6348524,509,506,1,1,15,99.41176470588235,19375,97.5,58.5,15,0
1782217809.7352297,509,507,1,1,16,99.42264973081038,19375,97.5,58.5,15,0
1782217809.935339,509,506,1,1,15,99.43314054661742,19375,97.5,58.5,15,0
1782217810.0356836,508,505,0,0,14,99.42772384288702,19375,97.5,58.5,15,6.666666666666667
1782217810.2352161,509,506,1,1,15,99.43656383018099,19375,97.5,58.5,15,0
1782217810.3356392,508,507,0,0,16,99.4322729092365,19375,97.5,58.5,16,0
1782217810.5351806,508,505,0,0,14,99.42978795440852,19375,97.5,58.5,16,12.5
1782217810.6354597,508,505,0,0,14,99.42869544996658,19375,97.5,58.5,16,12.5
1782217810.734696,508,507,0,0,16,99.42868572571658,19375,97.5,58.5,16,0
1782217810.8349636,507,506,1,1,15,99.4334261591286,19375,97.5,58.5,16,6.25
1782217810.9353297,50,507,458,458,16,13.612685100282278,4399,253.5,152.1,16,0
1782217811.0345843,508,507,0,0,16,15.107067732469076,19375,97.5,58.5,16,0
1782217811.1349716,509,506,1,1,15,16.533188151561177,19375,97.5,58.5,16,6.25
1782217811.2353024,508,506,0,0,15,17.883659766564534,19375,97.5,58.5,16,6.25
