ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175725.4077892,515,514,15,15,1,100,130500,23.3,537.3299999999999
1782175725.5070825,516,515,16,16,2,100,122343,24.9,510.3
1782175725.6074347,516,514,16,16,1,100,122343,24.9,520.3
1782175725.7077003,515,514,15,15,1,100,130500,23.3,547.3299999999999
1782175725.807048,516,514,16,16,1,100,122343,24.9,520.3
1782175725.9076173,515,514,15,15,1,99.5,130500,23.3,546.8299999999999
1782175726.0078704,516,514,16,16,1,99.50512834069461,122343,24.9,519.8051283406946
1782175726.107205,516,514,16,16,1,99.51587708172407,122343,24.9,519.815877081724
1782175726.2075293,516,514,16,16,1,99.52859547920897,122343,24.9,519.828595479209
1782175726.307858,516,514,16,16,1,99.54174243050441,122343,24.9,519.8417424305044
1782175726.4071906,516,514,16,16,1,99.55463822858488,122343,24.9,519.8546382285849
1782175726.5076036,516,514,16,16,1,99.56698729810778,122343,24.9,519.8669872981078
1782175726.60797,516,514,16,16,1,99.57867495576525,122343,24.9,519.8786749557653
1782175726.7072988,516,514,16,16,1,99.58967409667585,122343,24.9,519.8896740966759
1782175726.8076243,515,514,15,15,1,99.55778336128594,130500,23.3,546.887783361286
1782175726.9080281,516,513,16,16,0,99.56698729810778,122343,24.9,529.8669872981078
1782175727.0072598,516,514,16,16,1,99.57581749700424,122343,24.9,519.8758174970043
1782175727.1077125,515,513,15,15,0,99.55209679176119,130500,23.3,556.8820967917611
1782175727.207955,516,514,16,16,1,99.55965261761365,122343,24.9,519.8596526176136
1782175727.3073282,515,515,15,15,2,99.54174243050441,130500,23.3,536.8717424305044
1782175727.4077504,516,514,16,16,1,99.54824604854737,122343,24.9,519.8482460485474
1782175727.5069575,516,514,16,16,1,99.55463822858488,122343,24.9,519.8546382285849
1782175727.7077084,515,514,15,15,1,99.53986933720616,130500,23.3,546.8698693372062
1782175727.8070107,517,514,17,17,1,99.47958350013347,115147,26.4,495.94291683346677
1782175727.9073164,516,513,16,16,0,99.48775006100537,122343,24.9,529.7877500610055
1782175728.0079472,515,514,15,15,1,99.4768665188948,130500,23.3,546.8068665188948
1782175728.1072168,517,514,17,17,1,99.43344227626747,115147,26.4,495.8967756096008
1782175728.2075248,516,514,16,16,1,99.44212502314953,122343,24.9,519.7421250231496
1782175728.3079183,516,514,16,16,1,99.45043526032727,122343,24.9,519.7504352603273
1782175728.4071865,516,513,16,16,0,99.45839743969094,122343,24.9,529.758397439691
1782175728.5075164,516,514,16,16,1,99.47825080525006,122343,24.9,519.7782508052501
1782175728.607937,516,513,16,16,0,99.47825080525006,122343,24.9,529.7782508052501
1782175728.807746,516,513,16,16,0,99.47825080525006,122343,24.9,529.7782508052501
1782175728.9081035,516,514,16,16,1,99.50111234843014,122343,24.9,519.8011123484301
1782175729.0074,517,514,17,17,1,99.46148351928655,115147,26.4,495.92481685261987
1782175729.1077473,517,514,17,17,1,99.45329268443811,115147,26.4,495.9166260177714
1782175729.2080767,517,514,17,17,1,99.42264973081038,115147,26.4,495.8859830641437
1782175729.3073962,516,513,16,16,0,99.42264973081038,122343,24.9,529.7226497308104
1782175729.4076848,515,514,15,15,1,99.39538809509277,130500,23.3,546.7253880950927
1782175729.5079515,516,514,16,16,1,99.39538809509277,122343,24.9,519.6953880950928
1782175729.6073089,516,514,16,16,1,99.39538809509277,122343,24.9,519.6953880950928
1782175729.707666,516,513,16,16,0,99.39538809509277,122343,24.9,529.6953880950928
1782175729.8079283,516,513,16,16,0,99.39538809509277,122343,24.9,529.6953880950928
1782175729.9072504,515,514,15,15,1,99.37106792452956,130500,23.3,546.7010679245295
1782175730.007638,516,514,16,16,1,99.39538809509277,122343,24.9,519.6953880950928
1782175730.1081417,515,514,15,15,1,99.37106792452956,130500,23.3,546.7010679245295
1782175730.2074728,516,514,16,16,1,99.37106792452956,122343,24.9,519.6710679245296
1782175730.307926,516,514,16,16,1,99.39538809509277,122343,24.9,519.6953880950928
1782175730.407799,515,514,15,15,1,99.37106792452956,130500,23.3,546.7010679245295
1782175730.5073223,515,513,15,15,0,99.37106792452956,130500,23.3,556.7010679245295
1782175730.6078236,516,514,16,16,1,99.37106792452956,122343,24.9,519.6710679245296
1782175730.7078314,516,515,16,16,2,99.37106792452956,122343,24.9,509.67106792452955
1782175730.8075604,516,513,16,16,0,99.39538809509277,122343,24.9,529.6953880950928
1782175730.9077833,515,514,15,15,1,99.40278423776104,130500,23.3,546.732784237761
1782175731.0076945,516,515,16,16,2,99.40278423776104,122343,24.9,509.7027842377611
1782175731.10758,515,513,15,15,0,99.40278423776104,130500,23.3,556.732784237761
1782175731.2076876,516,514,16,16,1,99.43825668178825,122343,24.9,519.7382566817882
