ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782310338.0574207,517,485,1,1,0,100,18125,105.0,63.0,0,0
1782310338.1564643,517,486,1,1,1,100,18125,105.0,63.0,0,0
1782310338.2568364,517,486,1,1,1,100,18125,105.0,63.0,0,0
1782310338.3572416,517,485,1,1,0,100,18125,105.0,63.0,0,0
1782310338.4565191,517,486,1,1,1,100,18125,105.0,63.0,0,0
1782310338.5571306,517,486,1,1,1,100.0,18125,105.0,63.0,0,0
1782310338.6575863,516,487,0,0,2,99.65007289388812,18125,105.0,63.0,0,0
1782310338.7568238,518,485,2,2,0,99.5,18125,105.0,63.0,0,0
1782310338.8571916,517,486,1,1,1,99.52859547920897,18125,105.0,63.0,0,0
1782310338.9576075,517,486,1,1,1,99.55278640450004,18125,105.0,63.0,1,0
1782310339.0568614,518,485,2,2,0,99.48574052277343,18125,105.0,63.0,1,100
1782310339.1571658,517,485,1,1,0,99.50699335140837,18125,105.0,63.0,1,100
1782310339.2575762,517,486,1,1,1,99.52581430746392,18125,105.0,63.0,1,0
1782310339.3568695,517,485,1,1,0,99.54263398304052,18125,105.0,63.0,1,100
1782310339.4572074,517,486,1,1,1,99.55778336128594,18125,105.0,63.0,1,0
1782310339.5578117,516,485,0,0,0,99.5,18125,105.0,63.0,1,100
1782310339.6569564,517,485,1,1,0,99.51492874992734,18125,105.0,63.0,1,100
1782310339.7573712,518,486,2,2,1,99.47588993710797,18125,105.0,63.0,1,0
1782310339.857804,517,486,1,1,1,99.48971790974565,18125,105.0,63.0,1,0
1782310339.957319,517,486,1,1,1,99.50250628144668,18125,105.0,63.0,1,0
1782310340.057326,517,486,1,1,1,99.51437909394355,18125,105.0,63.0,1,0
1782310340.1578257,517,486,1,1,1,99.52544061323134,18125,105.0,63.0,1,0
1782310340.2570896,517,485,1,1,0,99.53577920643342,18125,105.0,63.0,1,100
1782310340.3574457,518,485,2,2,0,99.50699335140837,18125,105.0,63.0,1,100
1782310340.457029,518,486,2,2,1,99.484636050931,18125,105.0,63.0,1,0
1782310340.5572066,517,485,1,1,0,99.49411744469361,18125,105.0,63.0,1,100
1782310340.6576087,517,485,1,1,0,99.50309600500005,18125,105.0,63.0,1,100
1782310340.7570343,518,487,2,2,2,99.48492124636229,18125,105.0,63.0,1,0
1782310340.8572807,517,485,1,1,0,99.49320901873452,18125,105.0,63.0,1,100
1782310340.9576044,517,486,1,1,1,99.50111234843014,18125,105.0,63.0,1,0
1782310341.056781,518,486,2,2,1,99.47825080525006,18125,105.0,63.0,1,0
1782310341.1571643,518,485,2,2,0,99.45839743969094,18125,105.0,63.0,1,100
1782310341.2575846,516,487,0,0,2,99.41785836011424,18125,105.0,63.0,2,0
1782310341.356831,517,486,1,1,1,99.41785836011424,18125,105.0,63.0,2,50.0
1782310341.4571624,517,486,1,1,1,99.41785836011424,18125,105.0,63.0,2,50.0
1782310341.557507,517,486,1,1,1,99.41785836011424,18125,105.0,63.0,2,50.0
1782310341.6570513,517,486,1,1,1,99.45839743969094,18125,105.0,63.0,2,50.0
1782310341.7573586,517,486,1,1,1,99.47825080525006,18125,105.0,63.0,2,50.0
1782310341.857646,517,486,1,1,1,99.47825080525006,18125,105.0,63.0,2,50.0
1782310341.957083,517,487,1,1,2,99.47825080525006,18125,105.0,63.0,2,0
1782310342.0573578,516,486,0,0,1,99.46148351928655,18125,105.0,63.0,2,50.0
