ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782181242.2980533,509,492,2,2,1,100,18125,105.0,63.0,0,0
1782181242.3974135,508,493,1,1,2,100,18125,105.0,63.0,0,0
1782181242.4977405,507,492,0,0,1,100,18125,105.0,63.0,0,0
1782181242.598094,509,492,2,2,1,100,18125,105.0,63.0,0,0
1782181242.6973886,507,492,0,0,1,100,18125,105.0,63.0,0,0
1782181242.7978857,508,491,1,1,0,99.18350341907228,18125,105.0,63.0,0,0
1782181242.8981607,508,492,1,1,1,99.24407105398154,18125,105.0,63.0,0,0
1782181242.9976053,507,492,0,0,1,99.2193752502002,18125,105.0,63.0,0,0
1782181243.0979297,509,491,2,2,0,99.18350341907228,18125,105.0,63.0,0,0
1782181243.1981876,509,492,2,2,1,99.1693376137082,18125,105.0,63.0,1,0
1782181243.2975295,507,492,0,0,1,99.14719713457755,18125,105.0,63.0,1,0
1782181243.3978887,509,492,2,2,1,99.13799329726761,18125,105.0,63.0,1,0
1782181243.4981399,508,492,1,1,1,99.17151310659469,18125,105.0,63.0,1,0
1782181243.5977077,509,492,2,2,1,99.16700687216496,18125,105.0,63.0,1,0
1782181243.6978307,508,492,1,1,1,99.19446360176036,18125,105.0,63.0,1,0
1782181243.7982047,508,492,1,1,1,99.2193752502002,18125,105.0,63.0,1,0
1782181243.897538,507,492,0,0,1,99.19775401782437,18125,105.0,63.0,1,0
1782181243.9978695,507,492,0,0,1,99.18350341907228,18125,105.0,63.0,1,0
1782181244.0983012,507,492,0,0,1,99.17450593992852,18125,105.0,63.0,1,0
1782181244.197565,508,494,1,1,3,99.19532615302845,18125,105.0,63.0,1,0
1782181244.2978864,508,493,1,1,2,99.2146465475014,18125,105.0,63.0,2,0
1782181244.3982818,509,496,2,2,5,99.20227596478253,18125,105.0,63.0,2,0
1782181244.497611,507,487,0,0,4,99.19359839169603,18125,105.0,63.0,3,0
1782181244.5979385,507,499,0,0,8,99.18776713793258,18125,105.0,63.0,4,0
1782181244.6973302,508,499,1,1,8,99.20401005031471,18125,105.0,63.0,5,0
1782181244.7976043,508,502,1,1,11,99.21931603345445,18125,105.0,63.0,8,0
1782181244.8979754,509,498,2,2,7,99.2073727941099,18125,105.0,63.0,8,12.5
1782181244.99729,507,493,0,0,2,99.20140429375007,18125,105.0,63.0,8,75.0
1782181245.097706,508,498,1,1,7,99.21518574643166,18125,105.0,63.0,8,12.5
1782181245.1979418,508,494,1,1,3,99.22827753981399,18125,105.0,63.0,8,62.5
1782181245.2972798,508,495,1,1,4,99.25389902381335,18125,105.0,63.0,8,50.0
1782181245.3976548,509,495,2,2,4,99.22827753981399,18125,105.0,63.0,8,50.0
1782181245.4981813,507,496,0,0,5,99.22827753981399,18125,105.0,63.0,8,37.5
1782181245.5974107,508,498,1,1,7,99.25389902381335,18125,105.0,63.0,8,12.5
1782181245.6976566,505,495,2,2,4,99.24796572182143,18125,105.0,63.0,8,50.0
1782181245.7979999,509,495,2,2,4,99.22540333075851,18125,105.0,63.0,8,50.0
1782181245.897324,508,495,1,1,4,99.22540333075851,18125,105.0,63.0,8,50.0
1782181245.9976008,508,496,1,1,5,99.24796572182143,18125,105.0,63.0,8,37.5
1782181246.098013,507,496,0,0,5,99.24796572182143,18125,105.0,63.0,8,37.5
1782181246.1973803,508,494,1,1,3,99.27275252569095,18125,105.0,63.0,8,62.5
1782181246.2981982,508,495,1,1,4,99.29367932998609,18125,105.0,63.0,8,50.0
1782181246.3980248,508,495,1,1,4,99.32013073152096,18125,105.0,63.0,8,50.0
1782181246.4974415,506,498,1,1,7,99.32013073152096,18125,105.0,63.0,8,12.5
1782181246.5976465,508,497,1,1,6,99.34935929013523,18125,105.0,63.0,8,25.0
1782181246.6980844,508,495,1,1,4,99.34935929013523,18125,105.0,63.0,8,50.0
1782181246.7973242,502,496,5,5,5,99.01737313513442,18125,105.0,63.0,8,37.5
1782181246.8976629,508,500,1,1,9,99.0362111803466,18125,105.0,63.0,8,0
1782181246.9980462,508,496,1,1,5,99.05660188679434,18125,105.0,63.0,8,37.5
1782181247.097482,508,490,1,1,1,99.07864833592765,18125,105.0,63.0,8,87.5
1782181247.1977208,509,496,2,2,5,99.06607161825853,18125,105.0,63.0,8,37.5
1782181247.2980494,508,496,1,1,5,99.06607161825853,18125,105.0,63.0,8,37.5
1782181247.397572,508,496,1,1,5,99.07864833592765,18125,105.0,63.0,8,37.5
1782181247.4979134,509,498,2,2,7,99.09078788686762,18125,105.0,63.0,8,12.5
1782181247.5982425,508,497,1,1,6,99.11745318034176,18125,105.0,63.0,8,25.0
1782181247.6976583,507,496,0,0,5,99.09078788686762,18125,105.0,63.0,8,37.5
1782181247.7978814,509,495,2,2,4,99.08045905172442,18125,105.0,63.0,8,50.0
1782181247.8970964,507,496,0,0,5,99.06607161825853,18125,105.0,63.0,8,37.5
1782181247.9974666,506,497,1,1,6,99.09078788686762,18125,105.0,63.0,8,25.0
1782181248.0977526,508,496,1,1,5,99.09078788686762,18125,105.0,63.0,8,37.5
1782181248.1971202,508,496,1,1,5,99.09078788686762,18125,105.0,63.0,8,37.5
1782181248.297549,508,496,1,1,5,99.09078788686762,18125,105.0,63.0,8,37.5
1782181248.3977995,511,496,4,4,5,98.96935834441732,18125,105.0,63.0,8,37.5
1782181248.4971695,514,496,7,7,5,98.56821789367237,18125,105.0,63.0,8,37.5
1782181248.5974946,508,497,1,1,6,98.56821789367237,18125,105.0,63.0,8,25.0
1782181248.6978683,506,496,1,1,5,98.56860596309441,18125,105.0,63.0,8,37.5
1782181248.797211,508,506,1,1,15,98.56977080313834,18125,105.0,63.0,9,0
1782181248.8976066,508,495,1,1,4,98.56977080313834,18125,105.0,63.0,9,55.55555555555556
