ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180216.983246,507,486,2,2,1,100,29375,100.0,60.0,1,0.0
1782180217.0822515,510,485,5,5,0,100,29375,100.0,60.0,1,100.0
1782180217.1826253,510,486,5,5,1,100,29375,100.0,60.0,1,0.0
1782180217.2830052,506,485,1,1,0,100,29375,100.0,60.0,1,100.0
1782180217.3823578,506,485,1,1,0,100,29375,100.0,60.0,1,100.0
1782180217.48273,506,484,1,1,1,98.197224362268,29375,100.0,60.0,1,0.0
1782180217.5830195,505,486,0,0,1,98.11558486310386,29375,100.0,60.0,1,0.0
1782180217.6823413,508,485,3,3,0,98.21464289286429,29375,100.0,60.0,1,100.0
1782180217.7827268,506,485,1,1,0,98.27151675709955,29375,100.0,60.0,1,100.0
1782180217.8830884,506,483,1,1,2,98.32667994693185,29375,100.0,60.0,2,0.0
1782180217.9824643,508,486,3,3,1,98.37885868180663,29375,100.0,60.0,2,50.0
1782180218.0829127,506,486,1,1,1,98.41886116991581,29375,100.0,60.0,2,50.0
1782180218.183185,506,484,1,1,1,98.45769710340281,29375,100.0,60.0,2,50.0
1782180218.282697,506,486,1,1,1,98.49490660673533,29375,100.0,60.0,2,50.0
1782180218.3828454,506,485,1,1,0,98.53030615433009,29375,100.0,60.0,2,100.0
1782180218.4832401,505,486,0,0,1,98.51176488752617,29375,100.0,60.0,2,50.0
1782180218.5825977,505,485,0,0,0,98.50259740454614,29375,100.0,60.0,2,100.0
1782180218.6827576,505,488,0,0,3,98.5,29375,100.0,60.0,3,0.0
1782180218.7831087,506,486,1,1,1,98.53574444807963,29375,100.0,60.0,3,66.66666666666666
1782180218.882585,505,491,0,0,6,98.53712611616722,29375,100.0,60.0,6,0.0
1782180218.982957,506,482,1,1,3,98.56984215069703,29375,100.0,60.0,6,50.0
1782180219.0832527,507,486,2,2,1,98.59678645086971,29375,100.0,60.0,6,83.33333333333334
1782180219.182553,505,485,0,0,0,98.5978682176872,29375,100.0,60.0,6,100.0
1782180219.2828147,506,484,1,1,1,98.62563145812744,29375,100.0,60.0,6,83.33333333333334
1782180219.3821213,508,486,3,3,1,98.61435935394489,29375,100.0,60.0,6,83.33333333333334
1782180219.482538,506,484,1,1,1,98.63909184515738,29375,100.0,60.0,6,83.33333333333334
1782180219.5828295,506,486,1,1,1,98.66255777146165,29375,100.0,60.0,6,83.33333333333334
1782180219.6822298,505,486,0,0,1,98.66226279997657,29375,100.0,60.0,6,83.33333333333334
